building_id,name,lat,lng
hilton_garden_inn,Hilton Garden Inn,40.0990688,-88.2462002
historic_cattle_bank,Historic Cattle Bank,40.1164863,-88.2385941
holiday_inn,Holiday Inn,40.0963886,-88.2460135
holonyak_micro_and_nanotechnology_laboratory,Holonyak Micro and Nanotechnology Laboratory,40.1139553,-88.2280509
homewood_suites,Homewood Suites,40.0995947,-88.2458132
hopkins_hall,Hopkins Hall,40.1025418,-88.237757
horticulture_field_laboratory,Horticulture Field Laboratory,40.0964061,-88.2148231
hospital_building,Hospital Building,40.1180791,-88.2276171
hound_s_court,Hound’s Court,40.1171817,-88.2432276
hound_s_rest,Hound’s Rest,40.1169345,-88.2421255
housing_authority_of_champaign_county,Housing Authority of Champaign County,40.1169986,-88.2459075
housing_food_stores,Housing Food Stores,40.1007316,-88.2422544
hub_champaign_daniel,Hub Champaign Daniel,40.1083146,-88.2297531
huff_hall,Huff Hall,40.1035681,-88.2327618
hunny_s_smoke_shop_more,Hunny's Smoke Shop & More,40.1094468,-88.2302205
huntington_tower,Huntington Tower,40.1123391,-88.2455508
hyatt_place,Hyatt Place,40.1179974,-88.2439878
igb_gatehouse,IGB Gatehouse,40.1050794,-88.2253008
ice_arena,Ice Arena,40.1058673,-88.2325373
illini_manor,Illini Manor,40.1066306,-88.2330449
illini_plastics_supply,Illini Plastics Supply,40.1150949,-88.2389498
illini_smiles,Illini Smiles,40.1124056,-88.2471325
illini_tower,Illini Tower,40.1064504,-88.2323607
illini_union,Illini Union,40.1094007,-88.2272548
illini_union_bookstore,Illini Union Bookstore,40.1083195,-88.229252
illinois_terminal,Illinois Terminal,40.115804,-88.241144
impact_physical_therapy,Impact Physical Therapy,40.1100162,-88.2424529
impactlife,ImpactLife,40.1166554,-88.2279983
institute_for_genomic_biology_igb,Institute for Genomic Biology (IGB),40.104787,-88.2248764
institute_of_government_and_public_affairs,Institute of Government and Public Affairs,40.1056473,-88.2212987
international_studies_building,International Studies Building,40.1072121,-88.2316475
ippatsu_salon,Ippatsu Salon,40.1154962,-88.23923
irwin_academic_center,Irwin Academic Center,40.1057534,-88.2331279
irwin_doctoral_study_hall,Irwin Doctoral Study Hall,40.1039865,-88.2294909
irwin_indoor_football_facility,Irwin Indoor Football Facility,40.1006644,-88.234173
ittonken,Ittonken,40.1076828,-88.2439217
jj_s_luggage_shoe_repair,JJ's Luggage & Shoe Repair,40.115778,-88.2431238
jsj_property_management,JSJ Property Management,40.112835,-88.2473232
jsm_office,JSM Office,40.1120499,-88.2324115
jane_addams_book_shop,Jane Addams Book Shop,40.1176471,-88.2432922
jarling_s_custard_cup,Jarling's Custard Cup,40.0977314,-88.2477219
jazzie_looks,Jazzie Looks,40.1170934,-88.2385124
joe_s_brewery,Joe's Brewery,40.1097964,-88.2317834
johnstowne,Johnstowne,40.1092536,-88.2315593
jon_s_pipe_shop,Jon's Pipe Shop,40.116548,-88.2414617
kams,KAMS,40.1104338,-88.2382756
kappa_alpha_theta,Kappa Alpha Theta,40.1077229,-88.2292432
kappa_delta_ro_fraternity,Kappa Delta Ro Fraternity,40.1045769,-88.2372656
kappa_delta_sorority,Kappa Delta Sorority,40.1056277,-88.2376378
kappa_kappa_gamma_sorority_house,Kappa Kappa Gamma Sorority House,40.1034722,-88.2187894
kappa_sigma,Kappa Sigma,40.1082622,-88.2356887
kavita_and_lalit_bahl_smart_bridge,Kavita and Lalit Bahl Smart Bridge,40.1144144,-88.2263008
kenney_gymnasium,Kenney Gymnasium,40.1130542,-88.2282948
kenney_gymnasium_annex,Kenney Gymnasium Annex,40.1131294,-88.2276653
korean_church_of_champaign_urbana,Korean Church of Champaign-Urbana,40.1109273,-88.2153942
krannert_center_for_the_performing_arts,Krannert Center for the Performing Arts,40.1080214,-88.2227462
krannert_view_2,Krannert View 2,40.1067483,-88.2224839
krannert_view_3,Krannert View 3,40.1062407,-88.2224628
kung_fu_bbq,Kung Fu BBQ,40.10936,-88.2308589
la_casa_cultural_latina,La Casa Cultural Latina,40.1057021,-88.2243519
land_of_lincoln_legal_assistance,Land of Lincoln Legal Assistance,40.1185654,-88.2385366
latitude_apartments,Latitude Apartments,40.1166401,-88.2297557
latitude_west,Latitude West,40.1166399,-88.2312896
legacy202,Legacy202,40.1082852,-88.2365554
legends,Legends,40.1105658,-88.2312395
leonard_hall,Leonard Hall,40.1045199,-88.2199332
levis_faculty_center,Levis Faculty Center,40.1086837,-88.2211231
lincoln_avenue_residence_halls,Lincoln Avenue Residence Halls,40.1041388,-88.2199526
lincoln_building,Lincoln Building,40.1174021,-88.2416629
lincoln_hall,Lincoln Hall,40.1066127,-88.2281809
lincoln_allen_dining_hall,Lincoln/Allen Dining Hall,40.1040914,-88.220425
literatures_cultures_linguistics_building,"Literatures, Cultures & Linguistics Building",40.1062804,-88.2261745
live_action_games,Live Action Games,40.1167959,-88.2419036
living_yoga_center,Living Yoga Center,40.1149283,-88.2385168
locks_of_glory,Locks of Glory,40.1171356,-88.2385211
lofts_54,Lofts 54,40.1068817,-88.2399247
